objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,
afoo01,AFOO1940HSC.jpg,,"Hampden-Sydney vs. Randolph Macon, Lynchburg, Va., Saturday, November 23, 1940",H-SC,1940-11-23,"Program cover for the Homecoming game, Satuday, November 23, 1940 Hampden-Sydney vs.Randolph-Macon. Price 25 cents.",colleges;football;program covers;,"Lynchburg, VA",37.4138,-79.146042,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo02,AFOO1946HSC.jpg,,"Homecoming! Randolph-Macon vs. Hampden-Sydney, Saturday, November 16, 2:30 p. m.",R-MC,1946-11-16,"Program cover for the Homecoming game, Satuday, November 16, 2:30 p. m., Randolph-Macon v. Hampden-Sydney. Price 25 cents.",colleges;football;program covers;homecoming;,"Ashland, VA",37.764082,-77.477613,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo03,AFOO1955HSC.jpg,,"Randolph-Macon vs. Hampden-Sydney Homecoming, Saturday, November 12, 1955",R-MC,1955-11-12,"Program cover for the 1955 Randolph-Macon v. Hampden-Sydney homecoming game, Saturday, November 12, 1955, 25 cents.",colleges;football;program covers;homecoming;,"Ashland, VA",37.764082,-77.477613,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo04,AFOO1957HSC.jpg,,"Homecoming, Randolph-Macon vs. Hampden-Sydney, Saturday, November 9, 1977",R-MC,1957-11-09,"Program cover for the 1957 Randolph-Macon v. Hampden-Sydney homecoming game, Day-Field, Saturday, November 9, 1957, 25 cents. ",colleges;football;program covers;homecoming;,"Ashland, VA",37.764082,-77.477613,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo05,AFOO1960HSC.jpg,,"2nd Annual ACCA Shrine Bowl, Hampden-Sydney College vs. Randolph-Macon College, November 19, 1960 ",H-SC,1960-11-19,"Program cover for the 1960 Hampden-Sydney College vs. Randolph-Macon College game, 2nd Annual ACCA Shrine Bowl, November 19, 1960, official program, 50 cents.",colleges;football;program covers;,"Lynchburg, VA",37.4138,-79.146042,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo06,AFOO1964HSC.jpg,,"Hampden-Sydney vs. Randolph-Macon, Death Valley, Saturday, November 21, 1964 ",H-SC,1964-11-21,"Program cover for the 1964 Hampden-Sydney College vs. Randolph-Macon College game, official program, 50 cents.",colleges;football;program covers;,"Lynchburg, VA",37.4138,-79.146042,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo07,AFOO1965HSC.jpg,,"Randolph-Macon vs. Hampden-Sydney, November 20, 1965, Day Field, 2 P.M., Offical Program",R-MC,1965-11-20,"Program cover for the 1965 Randolph-Macon v. Hampden-Sydney game, November 20, 1965, Day field, 2 P.M., official program, 25 cents.",colleges;football;program covers;,"Ashland, VA",37.764082,-77.477613,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo08,AFOO1966HSC.jpg,,"Hampden-Sydney vs. Randolph-Macon, Saturday, November 19, 1966, Death Valley, Official Program  ",H-SC,1966-11-19,"Program cover for the 1966 Hampden-Sydney v. Randolph-Macon game, November 19, 1966, Death Valley, official program, 50 cents.",colleges;football;program covers;,"Lynchburg, VA",37.4138,-79.146042,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo09,AFOO1968HSC.jpg,,"The College Game, Hampden-Sydney vs. Randolph-Macon, Sat., Nov. 23, 1968, Death Valley, Official Program  ",H-SC,1968-11-23,"Program cover for the 1968 Hampden-Sydney v. Randolph-Macon game, Saturday, November 23, 1968, Death Valley, official program, 50 cents.",colleges;football;program covers;,"Lynchburg, VA",37.4138,-79.146042,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
afoo10,AFOO1969HSC.jpg,,"Randolph-Macon vs. Hampden-Sydney, 74th Meeting, November 22, 1969, Day Field",R-MC,1969-11-22,"Program cover for the 1969 Randolph-Macon v. Hampden-Sydney game, 74th meeting, November 22, 1969, Day Field.",colleges;football;program covers;,"Ashland, VA",37.764082,-77.477613,"College Archives, Sports Program Collection, Football.",Archives-Athletics,Image;StillImage,image/jpeg,eng,College retains rights,"Items in this collection may be used for educational, research, and scholarly purposes. Publication, transmission, or reproduction of items protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Contact archives@rmc.edu for more information about this item referring to the item Title.",
